wall_ns,acquisitions,immediate,waited,wait_ns,hold_ns,wait_max_ns,hold_max_ns,waiters_now,waiters_max
1788210840695111160,7648,7648,0,0,54319580510,0,170221111,0,0
1788210841183754517,7680,7680,0,0,54544872241,0,170221111,0,0
1788210841694529668,7712,7712,0,0,54764720903,0,170221111,0,0
1788210842197839308,7744,7744,0,0,54997661371,0,170221111,0,0
1788210842709839771,7776,7776,0,0,55212668375,0,170221111,0,0
1788210843271168468,7808,7808,0,0,55437127743,0,170221111,0,0
1788210843752583218,7840,7840,0,0,55662693019,0,170221111,0,0
1788210844231984463,7872,7872,0,0,55880489837,0,170221111,0,0
1788210844745090602,7904,7904,0,0,56099185953,0,170221111,0,0
1788210845241466524,7936,7936,0,0,56323773849,0,170221111,0,0
1788210846857110786,7968,7968,0,0,56536097442,0,170221111,0,0
1788210847362460204,8000,8000,0,0,56750410786,0,170221111,0,0
1788210847868750406,8032,8032,0,0,56990454547,0,170221111,0,0
1788210848375504176,8064,8064,0,0,57223706318,0,170221111,0,0
1788210848962093859,8096,8096,0,0,57461087790,0,170221111,0,0
1788210849486734695,8128,8128,0,0,57685306062,0,170221111,0,0
1788210849979194742,8160,8160,0,0,57914274698,0,170221111,0,0
1788210850493590749,8192,8192,0,0,58133503202,0,170221111,0,0
1788210850977222034,8224,8224,0,0,58359794932,0,170221111,0,0
1788210852608113828,8256,8256,0,0,58590452435,0,170221111,0,0
1788210853088476296,8288,8288,0,0,58808635081,0,170221111,0,0
1788210853596606354,8320,8320,0,0,59027332827,0,170221111,0,0
1788210854092427398,8352,8352,0,0,59257657218,0,170221111,0,0
1788210854656340369,8384,8384,0,0,59481423660,0,170221111,0,0
1788210855166980586,8416,8416,0,0,59695552163,0,170221111,0,0
1788210855668444218,8448,8448,0,0,59924944971,0,170221111,0,0
1788210856153172312,8480,8480,0,0,60146611455,0,170221111,0,0
1788210856669292128,8512,8512,0,0,60367618798,0,170221111,0,0
1788210858322751261,8544,8544,0,0,60583985515,0,170221111,0,0
1788210858810600051,8576,8576,0,0,60809141270,0,170221111,0,0
1788210859330039212,8608,8608,0,0,61030731065,0,170221111,0,0
1788210859814052625,8640,8640,0,0,61256926274,0,170221111,0,0
1788210860314712362,8672,8672,0,0,61480911899,0,170221111,0,0
1788210860868784517,8704,8704,0,0,61702175393,0,170221111,0,0
1788210861398489638,8736,8736,0,0,61934773979,0,170221111,0,0
1788210861897733249,8768,8768,0,0,62164507400,0,170221111,0,0
1788210862417378725,8800,8800,0,0,62378227209,0,170221111,0,0
1788210864030445857,8832,8832,0,0,62590679805,0,170221111,0,0
1788210864511814367,8864,8864,0,0,62815813375,0,170221111,0,0
1788210864999522962,8896,8896,0,0,63034246433,0,170221111,0,0
1788210865507896527,8928,8928,0,0,63253246420,0,170221111,0,0
1788210865993239666,8960,8960,0,0,63477443298,0,170221111,0,0
1788210867090474827,8992,8992,0,0,63699057549,0,170221111,0,0
1788210867595043485,9024,9024,0,0,63913562639,0,170221111,0,0
1788210868091632975,9056,9056,0,0,64143717390,0,170221111,0,0
1788210868576502185,9088,9088,0,0,64363658751,0,170221111,0,0
1788210869674512014,9120,9120,0,0,64587097204,0,170221111,0,0
1788210870191919774,9152,9152,0,0,64806256545,0,170221111,0,0
1788210870697844910,9184,9184,0,0,65035389490,0,170221111,0,0
1788210871217974634,9216,9216,0,0,65250277559,0,170221111,0,0
1788210871713197967,9248,9248,0,0,65480754610,0,170221111,0,0
1788210872657664420,9280,9280,0,0,65687352730,0,170221111,0,0
1788210873112389965,9312,9312,0,0,65885455954,0,170221111,0,0
1788210873592923028,9344,9344,0,0,66084595271,0,170221111,0,0
1788210874050261072,9376,9376,0,0,66288326564,0,170221111,0,0
1788210874531032622,9408,9408,0,0,66481724308,0,170221111,0,0
1788210875094887880,9440,9440,0,0,66682979301,0,170221111,0,0
1788210875551505002,9472,9472,0,0,66886710901,0,170221111,0,0
